lines,analysis,reference,aligner,method,filtering,mass
488476,miscalls_lowmap,t2t,bwameth,emseq,combined,10ng
30660,clinvar_miscalls,t2t,bismark,emseq,combined,10ng
25066,clinvar_miscalls,t2t,bismark,wgbs,combined,50ng
8873,clinvar_miscalls,t2t,bwameth,emseq,combined,10ng
769,miscalled_clinvar_genes_lowmap,t2t,bwameth,wgbs,combined,10ng
15712,miscalled_clinvar_genes_lowmap,grch38,bismark,wgbs,combined,50ng
10509,miscalled_clinvar_genes_lowmap,t2t,bwameth,emseq,combined,50ng
1294,miscalled_clinvar_genes_lowmap,t2t,bwameth,emseq,combined,200ng
9774,miscalled_clinvar_genes_lowmap,grch38,bwameth,emseq,combined,10ng
16036,miscalled_clinvar_genes_lowmap,grch38,bwameth,wgbs,combined,200ng
1191,miscalled_clinvar_genes_lowmap,t2t,bwameth,wgbs,combined,50ng
9980,miscalled_clinvar_genes_lowmap,grch38,bwameth,wgbs,combined,10ng
4833,miscalled_clinvar_genes_lowmap,t2t,bismark,emseq,combined,50ng
10180,miscalled_clinvar_genes_lowmap,grch38,bwameth,wgbs,combined,50ng
11009,miscalled_clinvar_genes_lowmap,grch38,bismark,wgbs,combined,200ng
10066,miscalled_clinvar_genes_lowmap,grch38,bismark,emseq,combined,200ng
10179,miscalled_clinvar_genes_lowmap,grch38,bismark,emseq,combined,50ng
255503,clinvar_miscalls_lowmap,grch38,bwameth,wgbs,combined,50ng
267656,clinvar_miscalls_lowmap,grch38,bwameth,wgbs,combined,200ng
279465,clinvar_miscalls_lowmap,grch38,bwameth,emseq,combined,50ng
457430,clinvar_miscalls_lowmap,grch38,bismark,emseq,combined,50ng
424730,clinvar_miscalls_lowmap,grch38,bismark,wgbs,combined,50ng
416325,clinvar_miscalls_lowmap,grch38,bismark,wgbs,combined,200ng
370841,clinvar_miscalls_lowmap,grch38,bismark,wgbs,combined,10ng
279243,clinvar_miscalls_lowmap,grch38,bwameth,emseq,combined,10ng
9009,miscalled_clinvar_genes_lowmap,grch38,bwameth,emseq,combined,200ng
440027,clinvar_miscalls_lowmap,grch38,bismark,emseq,combined,200ng
455545,clinvar_miscalls_lowmap,grch38,bismark,emseq,combined,10ng
226353,clinvar_miscalls_lowmap,grch38,bwameth,wgbs,combined,10ng
267882,clinvar_miscalls_lowmap,grch38,bwameth,emseq,combined,200ng
10720,miscalled_clinvar_genes_lowmap,grch38,bismark,emseq,combined,10ng
9308,miscalled_clinvar_genes_lowmap,grch38,bwameth,emseq,combined,50ng
226806,clinvar_miscalls,grch38,bwameth,wgbs,combined,10ng
1262,miscalled_clinvar_genes_lowmap,t2t,bwameth,emseq,combined,10ng
255905,clinvar_miscalls,grch38,bwameth,wgbs,combined,50ng
