lines,analysis,reference,aligner,method,filtering,mass
1031464795,pure_methyl_calls,grch38,bwameth,wgbs,filt,200ng
1068468598,pure_methyl_calls,grch38,bwameth,emseq,filt,200ng
22488374,mixed_methyl_calls,t2t,bismark,wgbs,filt,10ng
123175174,mixed_methyl_calls,t2t,bwameth,emseq,filt,10ng
59572139,mixed_methyl_calls,t2t,bwameth,wgbs,filt,200ng
1032607502,pure_methyl_calls,grch38,bwameth,wgbs,filt,50ng
34641022,mixed_methyl_calls,grch38,bismark,wgbs,filt,50ng
58671731,mixed_methyl_calls,t2t,bwameth,wgbs,nofilt,50ng
59598659,mixed_methyl_calls,t2t,bwameth,wgbs,nofilt,200ng
1025878215,pure_methyl_calls,grch38,bwameth,emseq,nofilt,10ng
22549996,mixed_methyl_calls,t2t,bismark,wgbs,nofilt,10ng
58647916,mixed_methyl_calls,t2t,bwameth,wgbs,filt,50ng
37675175,mixed_methyl_calls,t2t,bismark,wgbs,nofilt,200ng
45317329,mixed_methyl_calls,grch38,bismark,emseq,nofilt,200ng
1019175436,pure_methyl_calls,grch38,bwameth,emseq,filt,10ng
75162524,mixed_methyl_calls,grch38,bwameth,emseq,filt,50ng
37592121,mixed_methyl_calls,t2t,bismark,wgbs,filt,200ng
947922868,pure_methyl_calls,grch38,bismark,wgbs,nofilt,10ng
123235855,mixed_methyl_calls,t2t,bwameth,emseq,nofilt,10ng
1073312023,pure_methyl_calls,grch38,bwameth,emseq,nofilt,50ng
952642168,pure_methyl_calls,t2t,bismark,wgbs,filt,10ng
36729569,mixed_methyl_calls,grch38,bismark,wgbs,filt,200ng
1032189379,pure_methyl_calls,t2t,bwameth,emseq,filt,10ng
1042896428,pure_methyl_calls,t2t,bwameth,wgbs,filt,200ng
1022883806,pure_methyl_calls,grch38,bismark,wgbs,filt,50ng
44809673,mixed_methyl_calls,grch38,bismark,emseq,filt,200ng
76836129,mixed_methyl_calls,t2t,bwameth,emseq,nofilt,50ng
1084219584,pure_methyl_calls,t2t,bwameth,emseq,nofilt,200ng
1066164176,pure_methyl_calls,grch38,bwameth,emseq,filt,50ng
75195813,mixed_methyl_calls,t2t,bwameth,emseq,filt,200ng
49142149,mixed_methyl_calls,t2t,bismark,emseq,filt,50ng
75906697,mixed_methyl_calls,grch38,bismark,emseq,nofilt,10ng
35458835,mixed_methyl_calls,t2t,bismark,wgbs,filt,50ng
1043293010,pure_methyl_calls,t2t,bwameth,wgbs,nofilt,200ng
1037329493,pure_methyl_calls,t2t,bismark,wgbs,filt,200ng
1032616023,pure_methyl_calls,t2t,bwameth,emseq,nofilt,10ng
1044095840,pure_methyl_calls,t2t,bwameth,wgbs,nofilt,50ng
45814131,mixed_methyl_calls,t2t,bismark,emseq,filt,200ng
45906391,mixed_methyl_calls,t2t,bismark,emseq,nofilt,200ng
48110607,mixed_methyl_calls,grch38,bismark,emseq,filt,50ng
48638859,mixed_methyl_calls,grch38,bismark,emseq,nofilt,50ng
1043712328,pure_methyl_calls,t2t,bwameth,wgbs,filt,50ng
75214012,mixed_methyl_calls,grch38,bismark,emseq,filt,10ng
954165083,pure_methyl_calls,t2t,bismark,wgbs,nofilt,10ng
1039029454,pure_methyl_calls,t2t,bismark,wgbs,nofilt,200ng
1097982486,pure_methyl_calls,grch38,bismark,emseq,filt,200ng
1037618300,pure_methyl_calls,grch38,bwameth,wgbs,nofilt,200ng
1023869441,pure_methyl_calls,grch38,bismark,wgbs,filt,200ng
1083667290,pure_methyl_calls,t2t,bwameth,emseq,filt,200ng
1107806689,pure_methyl_calls,grch38,bismark,emseq,nofilt,200ng
1036244173,pure_methyl_calls,t2t,bismark,wgbs,filt,50ng
57413407,mixed_methyl_calls,grch38,bwameth,wgbs,nofilt,50ng
1038742349,pure_methyl_calls,grch38,bwameth,wgbs,nofilt,50ng
76534720,mixed_methyl_calls,t2t,bismark,emseq,filt,10ng
76626042,mixed_methyl_calls,t2t,bismark,emseq,nofilt,10ng
1081756273,pure_methyl_calls,t2t,bwameth,emseq,nofilt,50ng
1112172446,pure_methyl_calls,t2t,bismark,emseq,filt,50ng
1118952251,pure_methyl_calls,t2t,bismark,emseq,nofilt,200ng
1072824315,pure_methyl_calls,grch38,bismark,emseq,nofilt,10ng
1063552158,pure_methyl_calls,grch38,bismark,emseq,filt,10ng
1116240343,pure_methyl_calls,t2t,bismark,emseq,filt,200ng
1094071096,pure_methyl_calls,grch38,bismark,emseq,filt,50ng
1103894340,pure_methyl_calls,grch38,bismark,emseq,nofilt,50ng
1080554021,pure_methyl_calls,t2t,bismark,emseq,filt,10ng
1082701650,pure_methyl_calls,t2t,bismark,emseq,nofilt,10ng
21931096,mixed_methyl_calls,grch38,bismark,wgbs,filt,10ng
74148148,mixed_methyl_calls,grch38,bwameth,emseq,nofilt,200ng
39406721,mixed_methyl_calls,t2t,bwameth,wgbs,nofilt,10ng
76781024,mixed_methyl_calls,t2t,bwameth,emseq,filt,50ng
941001830,pure_methyl_calls,grch38,bismark,wgbs,filt,10ng
1075619117,pure_methyl_calls,grch38,bwameth,emseq,nofilt,200ng
49232286,mixed_methyl_calls,t2t,bismark,emseq,nofilt,50ng
34958106,mixed_methyl_calls,grch38,bismark,wgbs,nofilt,50ng
37058876,mixed_methyl_calls,grch38,bismark,wgbs,nofilt,200ng
987728833,pure_methyl_calls,t2t,bwameth,wgbs,nofilt,10ng
1030706756,pure_methyl_calls,grch38,bismark,wgbs,nofilt,50ng
1081232130,pure_methyl_calls,t2t,bwameth,emseq,filt,50ng
1031710687,pure_methyl_calls,grch38,bismark,wgbs,nofilt,200ng
1114751169,pure_methyl_calls,t2t,bismark,emseq,nofilt,50ng
3460,underfiltered_calls,grch38,bwameth,wgbs,combined,10ng
2888,underfiltered_calls,grch38,bwameth,wgbs,combined,200ng
1651,underfiltered_calls,grch38,bwameth,emseq,combined,10ng
370,underfiltered_calls,t2t,bwameth,wgbs,combined,200ng
1066,underfiltered_calls,t2t,bismark,wgbs,combined,10ng
306,underfiltered_calls,t2t,bwameth,wgbs,combined,50ng
1297,underfiltered_calls,grch38,bwameth,emseq,combined,50ng
1192,underfiltered_calls,t2t,bismark,wgbs,combined,200ng
479,underfiltered_calls,t2t,bwameth,emseq,combined,10ng
2277,underfiltered_calls,grch38,bismark,emseq,combined,200ng
1137,underfiltered_calls,t2t,bismark,wgbs,combined,50ng
550,underfiltered_calls,t2t,bwameth,emseq,combined,200ng
1899,underfiltered_calls,t2t,bismark,emseq,combined,200ng
